Step,Individual,Fitness
1,((((operation_windup>-5.25)>operation_work_required)-(machine_capacity<((machine_current_breakdown_rate+-6.0)<-9.0)))<pair_number_of_alternative_machines),426.20979661546926
1,((job_relative_deadline*machine_processing_energy_per_second)/(job_starting_number_of_operations+pair_number_of_alternative_machines)),466.23928983565503
1,((operation_cooldown>((pair_number_of_alternative_machines*job_starting_number_of_operations)*machine_current_breakdown_rate))>(warehouse_utilization_rate<machine_processing_energy_fixed)),459.15273944874724
1,((machine_processing_energy_fixed+job_remaining_work_to_complete)*pair_expected_processing_time),437.34230659962617
1,(5.25/machine_processing_cost_fixed),470.71877939523847
1,((machine_processing_cost_fixed<job_relative_deadline)<(warehouse_utilization_rate/(pair_expected_processing_time>(job_relative_deadline/(pair_number_of_alternative_machines+operation_work_required))))),466.80720895253245
1,(machine_processing_cost_fixed>machine_cooldown),451.0689850118591
1,(job_remaining_number_of_operations>(-9.75*(machine_processing_energy_per_second<job_relative_deadline))),429.29411396763606
1,(((machine_cooldown+pair_number_of_alternative_machines)-(((machine_cooldown<operation_cooldown)>(operation_cooldown<machine_processing_cost_per_second))--7.25))-((((-6.75/operation_windup)/(machine_processing_energy_per_second+-7.0))-(9.0>9.25))*job_starting_number_of_operations)),389.91421045748183
1,(operation_work_required/(machine_cooldown+(((machine_processing_cost_fixed<machine_processing_energy_fixed)/job_starting_number_of_operations)>machine_cooldown))),402.93385837907493
1,(machine_replacement_cooldown*warehouse_utilization_rate),406.2333570885852
1,(pair_expected_work_power-((machine_current_breakdown_rate*machine_replacement_cooldown)*(-6.0*pair_expected_processing_time))),462.96728689022177
1,((machine_current_breakdown_rate*-8.0)<(machine_processing_cost_per_second<-5.0)),450.77616633291717
1,(6.25-pair_number_of_alternative_operations),431.10598042184165
1,(machine_processing_energy_per_second/-2.25),415.4705069099288
1,(machine_processing_cost_per_second<0.5),415.58683179488173
